ProspectiveBuyerKey,ProspectAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,Phone,Salutation,Unknown
440,9309,Cassandra,null,Rodriguez,10.09.1977 0:00:00,S,F,crodriguez@litwareinc.com,"110 000,00 ₽",2,1,Graduate D,Management,1,3,636 Vine Hill Way,null,Portland,OR,97205,771-555-0169,Ms.,1
441,6995,Candace,null,Rodriguez,06.11.1958 0:00:00,S,F,crodriguez@lucernepublishing.com,"30 000,00 ₽",3,0,Partial Co,Clerical,0,2,Lone Star Factory,null,La Marque,TX,77568,1 (11) 500 555-0158,Ms.,4
442,9018,Casey,null,Romero,06.03.1971 0:00:00,S,M,cromero@alpineskihouse.com,"90 000,00 ₽",2,1,Partial Co,Professional,0,1,1005 Fremont Street,null,Colma,CA,94014,683-555-0179,Mr.,4
443,4340,Carolyn,null,Romero,17.06.1974 0:00:00,S,F,cromero@consolidatedmessenger,"20 000,00 ₽",2,2,High Schoo,Manual,0,2,123 W. Lake Ave.,null,Peoria,IL,61606,1 (11) 500 555-0115,Ms.,3
444,58970157504,Carson,E,Ross,29.10.1972 0:00:00,S,M,cross@adatum.com,"60 000,00 ₽",3,2,Graduate D,Professional,0,0,3556 Hoek Maple Court,null,Beverly Hills,CA,90210,165-555-0110,Mr.,4
445,26223351955,Cameron,L,Ross,15.09.1972 0:00:00,M,M,cross@contoso.com,"90 000,00 ₽",4,1,Partial Co,Professional,1,2,3795 Tabora Drive,null,Woodland Hills,CA,91364,1 (11) 500 555-0116,Mr.,4
446,2591,Cheryl,null,Rubio,07.12.1959 0:00:00,S,F,crubio@northwindtraders.com,"110 000,00 ₽",4,5,Partial Co,Management,0,2,213 Kirkwood Drive,null,Gold Bar,WA,98251,1 (11) 500 555-0182,Ms.,1
447,4311,Carolyn,J,Sai,15.01.1969 0:00:00,S,F,csai@consolidatedmessenger,"80 000,00 ₽",5,0,Graduate D,Professional,1,0,Dansk Square,null,Kittery,ME,3904,193-555-0197,Ms.,2
448,3573,Carmen,E,Sai,09.12.1980 0:00:00,M,F,csai@fineartschool.net,"130 000,00 ₽",0,5,Partial Hi,Management,1,4,7995 Edwards Ave.,null,Lynnwood,WA,98036,1 (11) 500 555-0164,Ms.,1
449,3198,Carla,L,Sai,13.05.1970 0:00:00,S,F,csai@humongousinsurance.com,"50 000,00 ₽",1,0,Partial Co,Skilled Manual,1,1,2377 Joyce Dr,null,Lebanon,OR,97355,525-555-0148,Ms.,1
450,3040,Carmen,null,Sanchez,07.10.1978 0:00:00,S,F,csanchez@adatum.com,"70 000,00 ₽",0,0,Bachelors,Professional,0,1,870 N. 54th Ave.,null,Chandler,AZ,85225,1 (11) 500 555-0167,Ms.,4
451,9135,Cory,A,Sanchez,13.10.1947 0:00:00,M,M,csanchez@thephone-company.com,"50 000,00 ₽",2,0,Graduate D,Management,1,1,5415 San Gabriel Dr.,null,Seattle,WA,98104,1 (11) 500 555-0196,Mr.,1
452,3204,Carla,null,Sara,10.12.1981 0:00:00,M,F,csara@lucernepublishing.com,"40 000,00 ₽",4,4,Partial Co,Clerical,1,2,7362 Arguello Blvd.,null,Woodburn,OR,97071,424-555-0159,Ms.,1
453,4317,Carolyn,null,Sara,23.10.1954 0:00:00,S,F,csara@wingtiptoys.com,"20 000,00 ₽",4,0,High Schoo,Skilled Manual,0,2,3886 Delta View Ln.,null,Walla Walla,WA,99362,1 (11) 500 555-0173,Ms.,1
454,44173949956,Courtney,null,Scott,07.12.1962 0:00:00,S,F,cscott@cohovineyard.com,"20 000,00 ₽",2,0,High Schoo,Manual,0,2,1874 Vallejo,null,Palo Alto,CA,94303,521-555-0183,Ms.,4
455,8976,Craig,null,Serrano,14.03.1977 0:00:00,M,M,cserrano@consolidatedmessenger,"120 000,00 ₽",0,1,Bachelors,Management,1,4,20500 S.w. 2512th Ave,null,Miami,FL,33127,799-555-0188,Mr.,5
456,9808,Corey,A,Shan,06.12.1986 0:00:00,M,M,cshan@cpandl.com,"10 000,00 ₽",1,1,High Schoo,Manual,1,0,4440 Algiers Drive,null,Downey,CA,90241,1 (11) 500 555-0117,Mr.,4
457,9452,Christine,S,Sharma,02.01.1972 0:00:00,S,F,csharma@adatum.com,"70 000,00 ₽",5,4,Partial Co,Professional,0,3,253731 West Bell Road,null,Surprise,AZ,85374,367-555-0149,Ms.,4
458,5015,Christy,null,Sharma,02.03.1955 0:00:00,M,F,csharma@alpineskihouse.com,"60 000,00 ₽",4,0,Bachelors,Management,0,2,6120 Ethan Ct.,#126,Colma,CA,94014,826-555-0119,Ms.,4
459,6023,Colin,null,Sharma,07.02.1979 0:00:00,M,M,csharma@contoso.com,"30 000,00 ₽",2,2,Partial Co,Clerical,1,2,438 Mt. Etna,null,Santa Monica,CA,90401,1 (11) 500 555-0139,Mr.,4
460,5005,Christy,null,She,14.08.1985 0:00:00,M,F,cshe@alpineskihouse.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,0,2,4250 Cross Road,null,Colma,CA,94014,936-555-0168,Ms.,4
461,1805,Carly,C,She,30.01.1955 0:00:00,M,F,cshe@consolidatedmessenger,"40 000,00 ₽",4,0,High Schoo,Professional,1,2,42500 West Park Drive,null,Atlanta,GA,30308,946-555-0164,Ms.,5
462,9722,Chad,null,She,07.09.1985 0:00:00,M,M,cshe@northwindtraders.com,"30 000,00 ₽",0,0,Partial Co,Clerical,1,1,7726 Driftwood Drive,null,Kirkland,WA,98033,1 (11) 500 555-0188,Mr.,1
463,5007,Christy,M,Shen,01.08.1974 0:00:00,M,F,cshen@adatum.com,"20 000,00 ₽",2,2,High Schoo,Manual,1,0,782 Veale Avenue,null,Bellflower,CA,90706,1 (11) 500 555-0134,Ms.,4
464,297,Clarence,R,Shen,09.05.1979 0:00:00,M,M,cshen@cohovineyard.com,"40 000,00 ₽",0,0,Graduate D,Clerical,0,0,2944 North Main St.,null,Los Angeles,CA,90012,1 (11) 500 555-0188,Mr.,4
465,3822,Cassie,null,Shen,20.04.1971 0:00:00,S,F,cshen@thephone-company.com,"40 000,00 ₽",4,3,High Schoo,Skilled Manual,0,3,2383 Pepper Drive,null,Redmond,WA,98052,251-555-0122,Ms.,1
466,97218812108,Chloe,S,Simmons,20.09.1966 0:00:00,M,F,csimmons@litwareinc.com,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,1,2,3098 Seabourne Ct,null,Oregon City,OR,97045,943-555-0191,Ms.,1
467,9122,Cory,null,Srini,10.07.1985 0:00:00,S,M,csrini@thephone-company.com,"30 000,00 ₽",0,0,High Schoo,Skilled Manual,1,2,490 Sepulveda Ct.,null,Seattle,WA,98104,846-555-0142,Mr.,1
468,8320,Carrie,null,Suarez,30.01.1983 0:00:00,S,F,csuarez@fineartschool.net,"10 000,00 ₽",0,0,Partial Hi,Manual,1,2,4750 Bay View Dr.,null,Olympia,WA,98501,1 (11) 500 555-0187,Ms.,1
469,8520,Curtis,D,Sun,30.12.1958 0:00:00,M,M,csun@cohovineyard.com,"50 000,00 ₽",2,1,Partial Co,Professional,1,2,1220 Bradford Way,null,Glendale,CA,91203,406-555-0195,Mr.,4
470,284,Clarence,A,Sun,22.09.1974 0:00:00,M,M,csun@margiestravel.com,"20 000,00 ₽",2,2,High Schoo,Manual,1,1,3478 Liana Lane,null,Bremerton,WA,98312,1 (11) 500 555-0118,Mr.,1
471,6973,Candace,W,Suri,09.10.1979 0:00:00,M,F,csuri@margiestravel.com,"60 000,00 ₽",1,0,Graduate D,Professional,0,0,9833 Mt. Dias Blv.,null,Bothell,WA,98011,518-555-0114,Ms.,1
472,299,Clarence,R,Tang,14.08.1951 0:00:00,S,M,ctang@adventure-works.com,"80 000,00 ₽",5,0,Bachelors,Management,0,2,8531 Bayter Court,null,Burlingame,CA,94010,384-555-0155,Mr.,4
473,51063804626,Chloe,null,Thomas,19.03.1985 0:00:00,S,F,cthomas@litwareinc.com,"40 000,00 ₽",0,0,High Schoo,Skilled Manual,1,2,1127 Leewood Place,null,W. Linn,OR,97068,422-555-0152,Ms.,1
474,85095071792,Christopher,C,Thompson,18.04.1949 0:00:00,S,M,cthompson@alpineskihouse.com,"90 000,00 ₽",5,0,Bachelors,Management,0,2,7232 Bales Court,null,Colma,CA,94014,965-555-0163,Mr.,4
475,64341189900,Chase,null,Torres,05.08.1985 0:00:00,S,M,ctorres@cohovineyard.com,"70 000,00 ₽",0,0,High Schoo,Management,0,2,6574 Hemlock Ave.,null,National City,CA,91950,1 (11) 500 555-0181,Mr.,4
476,64217588305,Carlos,L,Torres,22.06.1970 0:00:00,S,M,ctorres@margiestravel.com,"10 000,00 ₽",1,1,High Schoo,Manual,1,0,2429 Longview Road,null,Burien,WA,98168,1 (11) 500 555-0124,Mr.,1
477,6582,Clinton,null,Torres,06.09.1986 0:00:00,M,M,ctorres@northwindtraders.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,5669 Ironwood Way,null,Kenmore,WA,98028,377-555-0184,Mr.,1
478,8971,Craig,R,Torres,15.04.1964 0:00:00,M,M,ctorres@northwindtraders.com,"40 000,00 ₽",3,0,Partial Hi,Clerical,1,2,991 Vista Verde,null,Duvall,WA,98019,1 (11) 500 555-0113,Mr.,1
479,34765109400,Caitlin,null,Torres,06.11.1979 0:00:00,S,F,ctorres@proseware.com,"50 000,00 ₽",1,1,Bachelors,Skilled Manual,0,1,413 West Road,null,Lynnwood,WA,98036,946-555-0196,Ms.,1
480,3571,Carmen,C,Verma,30.08.1971 0:00:00,M,F,cverma@consolidatedmessenger,"90 000,00 ₽",2,1,Partial Co,Professional,1,1,2025 Greenwood Ct,null,Mcdonough,GA,30253,197-555-0137,Ms.,5
481,1507,Cesar,null,Verma,07.09.1979 0:00:00,S,M,cverma@fabrikam.com,"100 000,00 ₽",0,5,Partial Hi,Professional,0,4,640 South 994th St. W.,null,Billings,MT,59101,1 (11) 500 555-0111,Mr.,0
482,2426,Claudia,T,Wang,05.01.1982 0:00:00,M,F,cwang@cohovineyard.com,"50 000,00 ₽",1,1,Graduate D,Skilled Manual,1,0,8210 Mines Road,null,Lakewood,CA,90712,992-555-0181,Ms.,4
483,821,Clarence,null,Wang,16.10.1965 0:00:00,S,M,cwang@cohovineyard.com,"70 000,00 ₽",3,0,Partial Co,Professional,0,2,1996 Sand Pointe Lane,null,Oakland,CA,94611,478-555-0135,Mr.,4
484,33457355500,Catherine,null,Watson,19.08.1986 0:00:00,S,F,cwatson@northwindtraders.com,"60 000,00 ₽",1,0,Graduate D,Professional,1,0,7091 Glen Arms Dr.,null,Everett,WA,98201,660-555-0140,Ms.,1
485,81782693862,Cameron,A,Williams,22.02.1971 0:00:00,S,M,cwilliams@northwindtraders.com,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,0,2,8461 Lodge Drive,null,Issaquah,WA,98027,203-555-0140,Mr.,1
486,20032502412,Charles,S,Wright,26.04.1978 0:00:00,M,M,cwright@fabrikam.com,"110 000,00 ₽",1,1,Graduate D,Management,0,3,371 Westwood Court,null,Burbank,OH,44214,818-555-0166,Mr.,3
487,8273,Candice,null,Wu,20.09.1966 0:00:00,M,F,cwu@consolidatedmessenger,"70 000,00 ₽",2,1,Partial Co,Professional,1,0,University Plaza,null,Tampa,FL,33602,685-555-0164,Ms.,5
488,2432,Claudia,J,Wu,10.03.1954 0:00:00,S,F,cwu@humongousinsurance.com,"80 000,00 ₽",5,0,Bachelors,Management,1,2,5458 Birchwood,null,Lake Oswego,OR,97034,1 (11) 500 555-0118,Ms.,1
489,9445,Christine,E,Xie,21.11.1981 0:00:00,S,F,cxie@consolidatedmessenger,"50 000,00 ₽",1,1,Graduate D,Skilled Manual,0,0,830 Highway 499 So,null,Mcdonough,GA,30253,752-555-0162,Ms.,5
490,3823,Cassie,K,Xie,08.01.1954 0:00:00,S,F,cxie@humongousinsurance.com,"30 000,00 ₽",2,0,Partial Co,Clerical,0,2,4428 C St.,null,Milwaukie,OR,97222,1 (11) 500 555-0134,Ms.,1
491,9802,Corey,M,Xu,13.01.1976 0:00:00,M,M,cxu@adatum.com,"40 000,00 ₽",0,0,Bachelors,Skilled Manual,1,0,9069 Muir Road,null,Bellflower,CA,90706,1 (11) 500 555-0147,Mr.,4
492,283,Clarence,null,Xu,30.11.1986 0:00:00,M,M,cxu@cpandl.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,2,9234 Westbury Drive,null,Coronado,CA,92118,112-555-0176,Mr.,4
493,5010,Christy,E,Xu,19.04.1970 0:00:00,S,F,cxu@humongousinsurance.com,"40 000,00 ₽",4,2,High Schoo,Skilled Manual,0,2,1947 Sepulveda Ct,null,Lebanon,OR,97355,972-555-0161,Ms.,1
494,4993,Christy,S,Xu,03.10.1974 0:00:00,S,F,cxu@lucernepublishing.com,"30 000,00 ₽",2,2,Partial Co,Clerical,0,0,496 Ashwood Dr,null,Carrollton,TX,75006,1 (11) 500 555-0139,Ms.,4
495,7817,Carl,E,Xu,02.10.1986 0:00:00,S,M,cxu@northwindtraders.com,"50 000,00 ₽",3,3,Bachelors,Skilled Manual,1,0,8500 Pinehurst Court,null,Everett,WA,98201,507-555-0116,Mr.,1
496,1981,Cara,null,Yang,23.12.1981 0:00:00,S,F,cyang@cpandl.com,"10 000,00 ₽",0,0,Partial Hi,Manual,0,2,4906 Vine Hill Way,null,Concord,CA,94519,1 (11) 500 555-0159,Ms.,4
497,4985,Christy,null,Yang,08.09.1982 0:00:00,S,F,cyang@fabrikam.com,"50 000,00 ₽",0,0,Graduate D,Skilled Manual,1,0,4073 Niagara Court,null,Beaverton,OR,97005,113-555-0181,Ms.,1
498,8271,Candice,null,Yang,05.01.1971 0:00:00,M,F,cyang@thephone-company.com,"40 000,00 ₽",4,3,High Schoo,Skilled Manual,1,3,3066 Wallace Dr.,null,Redmond,WA,98052,157-555-0145,Ms.,1
499,8516,Curtis,G,Ye,09.05.1956 0:00:00,M,M,cye@alpineskihouse.com,"60 000,00 ₽",4,0,Bachelors,Management,1,2,463 Ahneita Dr,null,Citrus Heights,CA,95610,525-555-0183,Mr.,4
500,5443,Colleen,C,Ye,13.03.1947 0:00:00,S,F,cye@cohovineyard.com,"130 000,00 ₽",2,3,Bachelors,Management,0,4,9571 Live Oak Dr.,null,Glendale,CA,91203,153-555-0195,Ms.,4
501,9987,Crystal,null,Ye,11.05.1954 0:00:00,M,F,cye@lucernepublishing.com,"70 000,00 ₽",5,1,High Schoo,Professional,1,2,2834 Clifford Court,#9,Anacortes,WA,98221,1 (11) 500 555-0184,Ms.,1
502,5012,Christy,A,Yuan,17.09.1960 0:00:00,M,F,cyuan@consolidatedmessenger,"30 000,00 ₽",3,0,High Schoo,Skilled Manual,0,2,9876 Fruitville Rd,null,Sarasota,FL,34236,1 (11) 500 555-0182,Ms.,5
503,5988,Colin,F,Zhang,17.01.1978 0:00:00,S,M,czhang@woodgrovebank.com,"70 000,00 ₽",5,5,Bachelors,Professional,1,3,3410 Meadowbrook Dr.,null,Yakima,WA,98901,1 (11) 500 555-0153,Mr.,1
504,8517,Curtis,M,Zhao,08.09.1980 0:00:00,S,M,czhao@cohovineyard.com,"60 000,00 ₽",1,0,Graduate D,Professional,0,0,5566 Brook Way,null,Lincoln Acres,CA,91950,360-555-0120,Mr.,4
505,4991,Christy,G,Zhao,06.03.1969 0:00:00,S,F,czhao@contoso.com,"70 000,00 ₽",5,5,Graduate D,Professional,0,3,2530 C Del Rio Circle,null,Bradenton,FL,34205,753-555-0191,Ms.,5
506,133,Cedric,M,Zhao,11.12.1983 0:00:00,M,M,czhao@fabrikam.com,"110 000,00 ₽",0,5,Partial Co,Management,1,3,Gulfport Factory Shops,null,Gulfport,MS,39501,1 (11) 500 555-0188,Mr.,5
507,1987,Cara,null,Zhao,25.11.1985 0:00:00,M,F,czhao@litwareinc.com,"30 000,00 ₽",0,0,High Schoo,Skilled Manual,1,2,8689 St. George Court,null,Salem,OR,97301,193-555-0180,Ms.,1
508,2440,Claudia,J,Zhu,15.01.1969 0:00:00,S,F,czhu@adventure-works.com,"20 000,00 ₽",3,0,Partial Hi,Manual,1,2,5199 James Donlon Blvd,null,Chula Vista,CA,91910,255-555-0151,Ms.,4
509,8521,Curtis,G,Zhu,21.08.1944 0:00:00,S,M,czhu@cohovineyard.com,"40 000,00 ₽",3,0,Partial Co,Professional,1,2,5009 Grasswood Circle,null,Lemon Grove,CA,91945,778-555-0130,Mr.,4
510,1991,Cara,G,Zhu,13.04.1961 0:00:00,M,F,czhu@fineartschool.net,"70 000,00 ₽",5,2,Partial Hi,Skilled Manual,1,2,7948 Walnut Blvd,null,Olympia,WA,98501,1 (11) 500 555-0114,Ms.,1
511,9686,Derek,C,Aggarwal,17.11.1988 0:00:00,S,M,daggarwal@alpineskihouse.com,"20 000,00 ₽",0,0,Partial Hi,Manual,1,2,2000 Newcastle Road,null,Colma,CA,94014,1 (11) 500 555-0135,Mr.,4
512,1894,Donna,D,Aggarwal,15.08.1959 0:00:00,S,F,daggarwal@cohovineyard.com,"50 000,00 ₽",2,1,Partial Co,Professional,0,2,3628 Mt. Mckinley Ct.,null,National City,CA,91950,734-555-0184,Ms.,4
513,1744,Devon,H,Aggarwal,18.05.1964 0:00:00,S,M,daggarwal@litwareinc.com,"30 000,00 ₽",1,0,High Schoo,Clerical,0,1,4001 Fawn Glen Circle,null,Portland,OR,97205,279-555-0198,Mr.,1
514,18099750876,Dalton,E,Allen,18.04.1953 0:00:00,M,M,dallen@alpineskihouse.com,"90 000,00 ₽",5,0,Bachelors,Management,1,2,463 Ahneita Dr,null,Citrus Heights,CA,95610,729-555-0155,Mr.,4
515,8988,Derrick,X,Alvarez,16.09.1984 0:00:00,S,M,dalvarez@contoso.com,"50 000,00 ₽",0,0,High Schoo,Skilled Manual,0,2,639 Bermad Drive,null,San Diego,CA,92102,487-555-0167,Mr.,4
516,1754,Devon,null,Anand,21.09.1947 0:00:00,S,M,danand@cpandl.com,"10 000,00 ₽",2,0,Bachelors,Clerical,0,1,8904 La Salle Ave,null,Concord,CA,94519,1 (11) 500 555-0127,Mr.,4
517,5432,Dawn,null,Anand,06.10.1965 0:00:00,M,F,danand@northwindtraders.com,"90 000,00 ₽",2,1,Partial Co,Professional,1,1,1626 Green Valley Road,null,Everett,WA,98201,187-555-0170,Ms.,1
518,3525,Dominic,null,Arun,22.08.1966 0:00:00,M,M,darun@northwindtraders.com,"50 000,00 ₽",1,0,Partial Co,Skilled Manual,0,1,4095 Cooper Dr.,null,Kenmore,WA,98028,1 (11) 500 555-0155,Mr.,1
519,68665924668,Devin,L,Bailey,24.05.1956 0:00:00,M,M,dbailey@cohovineyard.com,"50 000,00 ₽",5,0,Bachelors,Management,1,3,6097 Mt. Mckinley Ct.,null,Imperial Beach,CA,91932,571-555-0185,Mr.,4
520,64073634100,Devin,null,Barnes,13.10.1963 0:00:00,S,M,dbarnes@fabrikam.com,"50 000,00 ₽",2,0,Partial Hi,Skilled Manual,1,2,9995  West Central Entrance,null,Duluth,MN,55802,259-555-0189,Mr.,3
521,3817,Deborah,L,Bhat,01.12.1970 0:00:00,M,F,dbhat@adatum.com,"20 000,00 ₽",1,1,Partial Co,Manual,1,0,72502 Eastern Ave.,null,Bell Gardens,CA,90201,1 (11) 500 555-0136,Ms.,4
522,10174,Dustin,null,Bhat,21.11.1969 0:00:00,M,M,dbhat@wingtiptoys.com,"40 000,00 ₽",4,2,High Schoo,Skilled Manual,1,2,9783 Amaranth Way,null,Walla Walla,WA,99362,816-555-0146,Mr.,1
523,8745,Diana,D,Blanco,22.11.1987 0:00:00,M,F,dblanco@cohovineyard.com,"50 000,00 ₽",0,0,Partial Co,Skilled Manual,1,1,4498 Dennis Circle,null,Lakewood,CA,90712,804-555-0150,Ms.,4
524,989,Dwayne,null,Blanco,14.10.1971 0:00:00,M,M,dblanco@cpandl.com,"10 000,00 ₽",1,0,Graduate D,Manual,1,0,8847 Reisling Court,null,Concord,CA,94519,1 (11) 500 555-0169,Mr.,4
525,5406,Dawn,null,Cai,04.01.1975 0:00:00,M,F,dcai@cpandl.com,"90 000,00 ₽",4,4,Partial Co,Professional,0,3,7696 Ready Road,null,Concord,CA,94519,138-555-0158,Ms.,4
526,45,Damien,A,Cai,29.10.1984 0:00:00,S,M,dcai@cpandl.com,"20 000,00 ₽",0,0,High Schoo,Manual,0,1,811 Via Cordona,null,Daly City,CA,94015,1 (11) 500 555-0112,Mr.,4
527,2344,Darryl,M,Cai,14.09.1971 0:00:00,S,M,dcai@margiestravel.com,"10 000,00 ₽",1,0,Graduate D,Manual,0,0,7433 San Simeon Ct.,null,Bremerton,WA,98312,1 (11) 500 555-0183,Mr.,1
528,992,Dwayne,null,Castro,03.05.1984 0:00:00,M,M,dcastro@baldwinmuseumofscience.com,"30 000,00 ₽",0,0,Partial Co,Clerical,0,1,8463 Alhambra Avenue,null,Colma,CA,94014,1 (11) 500 555-0137,Mr.,4
529,4252,Deanna,S,Castro,25.12.1968 0:00:00,M,F,dcastro@woodgrovebank.com,"90 000,00 ₽",1,0,Bachelors,Professional,0,1,Frontier Mall,null,Cheyenne,WY,82001,1 (11) 500 555-0117,Ms.,3
530,3812,Deborah,null,Chander,25.05.1987 0:00:00,S,F,dchander@cpandl.com,"20 000,00 ₽",0,0,Partial Co,Manual,0,0,5087 Bonita Ave.,null,Concord,CA,94519,1 (11) 500 555-0111,Ms.,4
531,7430,Denise,V,Chandra,04.03.1973 0:00:00,S,F,dchandra@adventure-works.com,"40 000,00 ₽",1,0,Bachelors,Skilled Manual,1,0,1565 Esperanea Dr.,null,Chula Vista,CA,91910,1 (11) 500 555-0167,Ms.,4
532,9164,Douglas,null,Chandra,17.03.1943 0:00:00,S,M,dchandra@alpineskihouse.com,"90 000,00 ₽",4,0,Bachelors,Management,0,1,The Citadel/commerce,null,City Of Commerce,CA,90040,762-555-0141,Mr.,4
533,57555812597,Dakota,A,Coleman,12.01.1963 0:00:00,S,M,dcoleman@humongousinsurance.com,"90 000,00 ₽",4,2,Partial Co,Professional,0,2,8185 Sol Street,null,Lake Oswego,OR,97034,1 (11) 500 555-0125,Mr.,1
534,70521332025,Devin,J,Cook,11.05.1982 0:00:00,M,M,dcook@thephone-company.com,"50 000,00 ₽",1,1,Graduate D,Skilled Manual,1,0,9456 Augustine Dr.,null,Spokane,WA,99202,981-555-0114,Mr.,1
535,17993524670,Dalton,I,Davis,04.07.1975 0:00:00,S,M,ddavis@fineartschool.net,"60 000,00 ₽",0,0,Graduate D,Professional,1,0,7428 Donegal Court,null,Lynnwood,WA,98036,636-555-0126,Mr.,1
536,20165743800,Devin,null,Davis,29.08.1959 0:00:00,S,M,ddavis@litwareinc.com,"10 000,00 ₽",2,1,Partial Hi,Clerical,1,3,786 Eastgate Ave,null,Portland,OR,97205,1 (11) 500 555-0157,Mr.,1
537,9673,Derek,null,Deng,10.03.1987 0:00:00,M,M,ddeng@alpineskihouse.com,"30 000,00 ₽",0,0,Partial Hi,Clerical,1,2,5840 Delta Fair Blvd.,null,Colma,CA,94014,195-555-0114,Mr.,4
538,975,Dwayne,R,Diaz,04.03.1972 0:00:00,S,M,ddiaz@adventure-works.com,"40 000,00 ₽",1,0,Partial Co,Clerical,1,1,1071 Stanz Grace St.,null,Chula Vista,CA,91910,182-555-0195,Mr.,4
539,8731,Diana,R,Diaz,23.04.1982 0:00:00,S,F,ddiaz@adventure-works.com,"120 000,00 ₽",0,5,Partial Hi,Professional,1,4,727 Pheasant Ct.,null,Burlingame,CA,94010,1 (11) 500 555-0165,Ms.,4
540,698,Diane,null,Diaz,01.10.1982 0:00:00,S,F,ddiaz@lucernepublishing.com,"50 000,00 ₽",1,0,Graduate D,Skilled Manual,1,0,7459 Davis Ave,null,Woodburn,OR,97071,153-555-0177,Ms.,1
541,6659,Danny,null,Dominguez,02.02.1983 0:00:00,S,M,ddominguez@litwareinc.com,"70 000,00 ₽",0,0,Partial Co,Professional,0,2,2208 Mauna Kea Court,null,Oregon City,OR,97045,675-555-0112,Mr.,1
542,20535631200,Devin,null,Edwards,21.03.1976 0:00:00,M,M,dedwards@cohovineyard.com,"90 000,00 ₽",0,0,Bachelors,Professional,1,0,4992 Yorba Linda,null,Palo Alto,CA,94303,1 (11) 500 555-0199,Mr.,4
543,4214,Deanna,null,Engineer,12.11.1975 0:00:00,M,F,dengineer@northwindtraders.com,"80 000,00 ₽",5,5,Graduate D,Management,0,3,8100 Contra Loma Blvd.,null,Edmonds,WA,98020,1 (11) 500 555-0195,Ms.,1
544,38,Damien,R,Gao,27.04.1950 0:00:00,S,M,dgao@alpineskihouse.com,"130 000,00 ₽",2,3,Bachelors,Management,0,4,1509 Orangewood Ave.,null,Colma,CA,94014,851-555-0174,Mr.,4
545,7445,Denise,L,Garcia,30.08.1978 0:00:00,S,F,dgarcia@adventure-works.com,"30 000,00 ₽",1,0,Bachelors,Clerical,1,0,3029 Arnold Dr,#2,Chula Vista,CA,91910,1 (11) 500 555-0147,Ms.,4
546,8998,Derrick,M,Gil,09.03.1967 0:00:00,S,M,dgil@humongousinsurance.com,"50 000,00 ₽",5,0,Bachelors,Management,1,3,237 El Centro,null,Lake Oswego,OR,97034,485-555-0172,Mr.,1
547,68,Damien,D,Goel,19.09.1968 0:00:00,S,M,dgoel@alpineskihouse.com,"20 000,00 ₽",2,0,Partial Co,Manual,0,1,1617 Cunningham Way,null,Colma,CA,94014,1 (11) 500 555-0196,Mr.,4
548,4441,Darren,null,Gomez,02.09.1979 0:00:00,S,M,dgomez@alpineskihouse.com,"80 000,00 ₽",4,4,Graduate D,Management,1,1,3448 Sun View Terr.,null,Colma,CA,94014,1 (11) 500 555-0118,Mr.,4
549,696,Diane,S,Gomez,15.11.1975 0:00:00,S,F,dgomez@cohovineyard.com,"110 000,00 ₽",0,0,Graduate D,Management,0,3,5754 Glenhaven Ave,null,Palo Alto,CA,94303,1 (11) 500 555-0129,Ms.,4
550,8729,Diana,S,Gomez,06.02.1956 0:00:00,M,F,dgomez@cpandl.com,"60 000,00 ₽",4,0,Bachelors,Management,0,2,6848 Calico Way,null,Concord,CA,94519,653-555-0169,Ms.,4
551,61306570768,Devin,B,Gonzales,12.12.1983 0:00:00,S,M,dgonzales@alpineskihouse.com,"70 000,00 ₽",5,5,Bachelors,Professional,1,3,3545 Rotherham Dr.,null,Colma,CA,94014,1 (11) 500 555-0119,Mr.,4
552,95865326523,Destiny,J,Gonzales,05.03.1961 0:00:00,M,F,dgonzales@litwareinc.com,"20 000,00 ₽",2,1,Partial Hi,Clerical,1,2,8315 Rolando Avenue,null,Portland,OR,97205,1 (11) 500 555-0113,Ms.,1
553,60139665007,Dalton,null,Griffin,05.10.1973 0:00:00,M,M,dgriffin@baldwinmuseumofscience.com,"50 000,00 ₽",4,2,Bachelors,Skilled Manual,0,2,7888 Stanford Street,null,Colma,CA,94014,187-555-0113,Mr.,4
554,8995,Derrick,M,Gutierrez,05.12.1978 0:00:00,M,M,dgutierrez@alpineskihouse.com,"40 000,00 ₽",0,0,Graduate D,Clerical,1,0,1691 Boxer Blvd.,null,Colma,CA,94014,1 (11) 500 555-0145,Mr.,4
555,707,Diane,null,Gutierrez,15.09.1986 0:00:00,S,F,dgutierrez@blueyonderairlines.com,"100 000,00 ₽",0,5,High Schoo,Management,1,3,104 Hilltop Dr.,null,Concord,CA,94519,1 (11) 500 555-0116,Ms.,4
556,18027535100,Dalton,null,Harris,21.08.1968 0:00:00,M,M,dharris@contoso.com,"70 000,00 ₽",1,0,Graduate D,Professional,1,1,298 Sunnybrook Drive,null,Spring Valley,CA,91977,545-555-0120,Mr.,4
